15.990,-60.393
15.692,-60.158
15.393,-59.924
14.994,-59.612
14.544,-59.264
14.044,-58.878
13.443,-58.418
13.041,-58.112
12.337,-57.580
11.834,-57.202
11.229,-56.751
10.724,-56.376
10.320,-56.077
9.865,-55.742
8.359,-54.371
7.359,-53.371
6.359,-52.371
5.359,-51.371
4.359,-50.371
3.359,-49.371
2.359,-48.371
1.359,-47.371
0.359,-46.371
-1.359,-45.371
-2.359,-44.371
-3.359,-43.371
-4.359,-42.371
-5.359,-41.371
-6.359,-40.371
-7.359,-39.371
-8.359,-38.371
-9.359,-37.371
-10.359,-36.371
-11.359,-35.371
-12.359,-34.371
-13.359,-33.371
-14.359,-32.371
-15.359,-31.371
-16.359,-30.371
-17.359,-29.371
